ResponseId,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23
Response ID,"1. After playing the game, I feel good overall experience with ""Supermarket Simulator"".",2. What did you enjoy most about the the game? - Selected Choice,3. Were there any aspects of the game you felt challenging or frustrating?,4. I feel immersive in the game.,5. I learn retail management skills and knowledge from the game.,6. The game makes me feel more interested in skills and knowledge related to retail management.,"7.	After playing the game, I feel motivated to engage in similar learning activities.",8. The game reached my expectations to learn about retail management.,9. I connect what I learned in the game with real-world concepts.,10. I will use serious games like this one for future learning.,11. I will recommend serious game as an effective educational learning tool to others
"{""ImportId"":""_recordId""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}"
1,Agree,Setting appropriate prices,Organizing and tidying shelves,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
2,Strongly Agree,Managing product orders,Managing the warehouse,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree
3,Neutral,Organizing and tidying shelves,Setting appropriate prices,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
4,Strongly Agree,Setting appropriate prices,Managing the warehouse,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
5,Somewhat Agree,Organizing and tidying shelves,Organizing and tidying shelves,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Agree
6,Agree,Managing product orders,Managing product orders,Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree
7,Agree,Organizing and tidying shelves,Managing the warehouse,Agree,Somewhat Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree
8,Agree,Managing product orders,Setting appropriate prices,Agree,Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree
9,Strongly Agree,Managing product orders,Organizing and tidying shelves,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree
10,Somewhat Agree,Managing the warehouse,Organizing and tidying shelves,Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree
11,Strongly Agree,Expanding and upgrading the store,Managing the warehouse,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
12,Strongly Agree,Managing product orders,Setting appropriate prices,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree
13,Strongly Agree,Managing product orders,Managing the warehouse,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree
14,Agree,Organizing and tidying shelves,Setting appropriate prices,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree
15,Strongly Agree,Managing product orders,Setting appropriate prices,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree
16,Strongly Agree,Managing product orders,Organizing and tidying shelves,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree
17,Agree,Managing product orders,Managing product orders,Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Agree
18,Agree,Managing product orders,Organizing and tidying shelves,Agree,Agree,Strongly Agree,Agree,,Somewhat Agree,Agree,Strongly Agree
19,Agree,Setting appropriate prices,Managing the warehouse,Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree
20,Agree,Expanding and upgrading the store,Managing the warehouse,Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree
21,Agree,Organizing and tidying shelves,Hiring and managing staff,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree
22,Agree,Managing product orders,Hiring and managing staff,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree
23,Agree,Managing product orders,Managing the warehouse,Strongly Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree
24,Agree,Setting appropriate prices,Setting appropriate prices,Strongly Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree
25,Strongly Agree,Organizing and tidying shelves,Hiring and managing staff,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree
26,Agree,Expanding and upgrading the store,Managing the warehouse,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree
27,Agree,Managing product orders,Managing the warehouse,Agree,Somewhat Agree,Agree,Agree,Agree,Strongly Agree,Agree,Somewhat Agree
28,Agree,Managing product orders,Setting appropriate prices,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
29,Agree,Setting appropriate prices,Managing product orders,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree
30,Somewhat Agree,Organizing and tidying shelves,Managing product orders,Somewhat Agree,Neutral,Somewhat Agree,Agree,Neutral,Somewhat Agree,Agree,Agree
