ResponseId,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
Response ID,1.1 What is your age?,1.2 What is your gender?,1.3 What is your highest level of education?,1.4 How often do you play serious games?,2.1 I feel highly motivated to learn new skills or information through simulations or games.,2.2 I feel highly interested in retail management or business operations.,2.3 I think my skills and knowledge in retail management are strong.,"2.4 During daily lifes, I feel fully absorbed when performing learning tasks.","2.5 During daily learning, I will connect new information with things I have already know.",2.6 Which learning methods do you prefer? - Selected Choice,"3.1	Rate your expectations about using supermarket simulator to learn about retail management?","3.2	Rate the difficulty to understand the game guidance?"
"{""ImportId"":""_recordId""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}"
1,23-28,Female,Master’s degree,Occasionally,Strongly Agree,Strongly Agree,Disagree,Somewhat Disagree,Agree,Hands-on activities,Very High Expectations,Easy to Understand
2,23-28,Female,Master’s degree,Sometimes,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Traditional lectures,Somewhat High Expectations,Very Easy to Understand
3,23-28,Female,Master’s degree,Occasionally,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Hands-on activities,Somewhat High Expectations,Easy to Understand
4,23-28,Female,Master’s degree,Occasionally,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Hands-on activities,Low Expectations,Somewhat Easy to Understand
5,23-28,Female,Master’s degree,Sometimes,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Digital tools,High Expectations,Easy to Understand
6,23-28,Female,Master’s degree,Sometimes,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Hands-on activities,Neutral,Easy to Understand
7,18-22,Male,Master’s degree,Sometimes,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Digital tools,High Expectations,Neutral
8,23-28,Male,PhD,Sometimes,Agree,Neutral,Neutral,Somewhat Agree,Agree,Traditional lectures,Somewhat High Expectations,Easy to Understand
9,23-28,Male,Master’s degree,Occasionally,Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Traditional lectures,Neutral,Neutral
10,23-28,Female,Master’s degree,Occasionally,Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Hands-on activities,Neutral,Easy to Understand
11,23-28,Male,Master’s degree,Often,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Digital tools,High Expectations,Very Easy to Understand
12,18-22,Female,Master’s degree,Occasionally,Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Traditional lectures,High Expectations,Easy to Understand
13,23-28,Male,Master’s degree,Often,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Hands-on activities,Very High Expectations,Very Easy to Understand
14,23-28,Male,Master’s degree,Sometimes,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Traditional lectures,Very High Expectations,Very Easy to Understand
15,23-28,Female,Master’s degree,Occasionally,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Digital tools,High Expectations,Very Easy to Understand
16,23-28,Male,Master’s degree,Sometimes,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Digital tools,High Expectations,Very Easy to Understand
17,23-28,Male,Master’s degree,Sometimes,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Traditional lectures,High Expectations,Somewhat Easy to Understand
18,18-22,Male,Bachelor's degree,Occasionally,Strongly Agree,Agree,Neutral,Agree,Somewhat Agree,Traditional lectures,High Expectations,Easy to Understand
19,23-28,Male,Master’s degree,Never,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Traditional lectures,High Expectations,Easy to Understand
20,23-28,Female,Master’s degree,Never,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Hands-on activities,High Expectations,Easy to Understand
21,23-28,Female,Master’s degree,Never,Agree,Agree,Agree,Somewhat Agree,Agree,Digital tools,High Expectations,Somewhat Easy to Understand
22,23-28,Female,Master’s degree,Never,Somewhat Agree,Agree,Agree,Agree,Agree,Traditional lectures,High Expectations,Easy to Understand
23,23-28,Female,Master’s degree,Occasionally,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Digital tools,High Expectations,Easy to Understand
24,23-28,Male,Master’s degree,Occasionally,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Traditional lectures,High Expectations,Very Easy to Understand
25,23-28,Male,Master’s degree,Occasionally,Strongly Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Digital tools,High Expectations,Very Easy to Understand
26,23-28,Female,Master’s degree,Never,Strongly Agree,Agree,Neutral,Somewhat Agree,Agree,Traditional lectures,Very High Expectations,Easy to Understand
27,23-28,Female,Master’s degree,Sometimes,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Digital tools,Very High Expectations,Easy to Understand
28,23-28,Male,Master’s degree,Occasionally,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Digital tools,Very High Expectations,Very Easy to Understand
29,23-28,Male,Master’s degree,Occasionally,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Digital tools,Somewhat High Expectations,Easy to Understand
30,23-28,Male,Master’s degree,Sometimes,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Neutral,Digital tools,Somewhat Low Expectations,Somewhat Easy to Understand
