StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q11,Q12,Q8,Q8_4_TEXT,Q13,Q14
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,1.1 What is your age?,1.2 What is your gender?,1.3 What is your highest level of education?,1.4 How often do you play serious games?,2.1 I feel highly motivated to learn new skills or information through simulations or games.,2.2 I feel highly interested in retail management or business operations.,2.3 I think my skills and knowledge in retail management are strong.,"2.4 During daily lifes, I feel fully absorbed when performing learning tasks.","2.5 During daily learning, I will connect new information with things I have already know.",2.6 Which learning methods do you prefer? - Selected Choice,2.6 Which learning methods do you prefer? - Others - Text,3.1	Rate your expectations about using supermarket simulator to learn about retail management?,3.2	Rate the difficulty to understand the game guidance?
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_4_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}"
2024-09-05 21:04:34,2024-09-05 21:06:39,IP Address,83.106.8.30,100,124,True,2024-09-05 21:06:40,R_2Pw7i5W2h3OOTDm,,,,,53.4344,-2.2664,anonymous,ZH-S,23-28,Female,Master’s degree,Occasionally,Strongly Agree,Strongly Agree,Disagree,Somewhat Disagree,Agree,Hands-on activities,,Very High Expectations,Easy to Understand
2024-09-05 22:50:15,2024-09-05 22:52:28,IP Address,83.106.8.30,100,133,True,2024-09-05 22:52:29,R_8LU37SL19QoVaAd,,,,,53.4344,-2.2664,anonymous,ZH-S,23-28,Female,Master’s degree,Sometimes,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Traditional lectures,,Somewhat High Expectations,Very Easy to Understand
2024-09-06 00:01:29,2024-09-06 00:03:28,IP Address,83.106.8.30,100,119,True,2024-09-06 00:03:28,R_81QmuvqoSrdQ52d,,,,,53.5866,-2.4354,anonymous,ZH-S,23-28,Female,Master’s degree,Occasionally,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Hands-on activities,,Somewhat High Expectations,Easy to Understand
2024-09-06 13:16:38,2024-09-06 13:18:14,IP Address,31.94.70.238,100,95,True,2024-09-06 13:18:15,R_8lof6Yp4sQqoT7V,,,,,52.5297,-1.8543,anonymous,ZH-S,23-28,Female,Master’s degree,Occasionally,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Hands-on activities,,Low Expectations,Somewhat Easy to Understand
2024-09-06 13:16:13,2024-09-06 13:19:21,IP Address,148.252.145.134,100,188,True,2024-09-06 13:19:21,R_2PZcnFiPqaAhnyE,,,,,51.4964,-0.1224,anonymous,ZH-S,23-28,Female,Master’s degree,Sometimes,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Digital tools,,High Expectations,Easy to Understand
2024-09-06 17:49:28,2024-09-06 17:50:31,IP Address,148.252.147.121,100,62,True,2024-09-06 17:50:32,R_8Qza5EOPRkmzzXb,,,,,51.4964,-0.1224,anonymous,ZH-S,23-28,Female,Master’s degree,Sometimes,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Hands-on activities,,Neutral,Easy to Understand
2024-09-06 19:49:40,2024-09-06 19:50:23,IP Address,83.106.8.30,100,43,True,2024-09-06 19:50:24,R_2maMLcMx7Lav2Lv,,,,,53.5866,-2.4354,anonymous,ZH-S,18-22,Male,Master’s degree,Sometimes,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Digital tools,,High Expectations,Neutral
2024-09-07 10:06:44,2024-09-07 10:07:26,IP Address,83.106.8.30,100,42,True,2024-09-07 10:07:26,R_2QJtvgS30yHTjUr,,,,,53.5866,-2.4354,anonymous,ZH-S,23-28,Male,PhD,Sometimes,Agree,Neutral,Neutral,Somewhat Agree,Agree,Traditional lectures,,Somewhat High Expectations,Easy to Understand
2024-09-07 16:12:29,2024-09-07 16:14:32,IP Address,90.251.128.55,100,123,True,2024-09-07 16:14:33,R_2dDRfZb7kP6zbmm,,,,,53.6921,-2.5614,anonymous,ZH-S,23-28,Male,Master’s degree,Occasionally,Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Traditional lectures,,Neutral,Neutral
2024-09-07 16:48:03,2024-09-07 16:49:15,IP Address,90.251.128.55,100,72,True,2024-09-07 16:49:16,R_2DwhpjZ1OkrEj2B,,,,,53.6921,-2.5614,anonymous,ZH-S,23-28,Female,Master’s degree,Occasionally,Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Hands-on activities,,Neutral,Easy to Understand
2024-09-08 21:02:21,2024-09-08 21:02:53,IP Address,90.251.128.55,100,32,True,2024-09-08 21:02:54,R_2VKIOPqabYEnuo0,,,,,53.6921,-2.5614,anonymous,ZH-S,23-28,Male,Master’s degree,Often,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Digital tools,,High Expectations,Very Easy to Understand
2024-09-09 16:35:24,2024-09-09 16:35:54,IP Address,90.251.128.55,100,29,True,2024-09-09 16:35:54,R_2CIdgCRDrLPgjEr,,,,,53.6921,-2.5614,anonymous,ZH-S,18-22,Female,Master’s degree,Occasionally,Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Traditional lectures,,High Expectations,Easy to Understand
2024-09-10 00:51:42,2024-09-10 00:52:12,IP Address,90.251.128.55,100,30,True,2024-09-10 00:52:13,R_26mSoBVb5SjJXue,,,,,53.6921,-2.5614,anonymous,ZH-S,23-28,Male,Master’s degree,Often,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Hands-on activities,,Very High Expectations,Very Easy to Understand
2024-09-10 13:47:01,2024-09-10 13:47:37,IP Address,90.251.128.55,100,36,True,2024-09-10 13:47:38,R_2z0EBazRsYMotMZ,,,,,53.6921,-2.5614,anonymous,ZH-S,23-28,Male,Master’s degree,Sometimes,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Traditional lectures,,Very High Expectations,Very Easy to Understand
2024-09-10 17:45:24,2024-09-10 17:45:58,IP Address,90.251.128.55,100,34,True,2024-09-10 17:45:59,R_8PY43a40mQAr2S6,,,,,53.6921,-2.5614,anonymous,ZH-S,23-28,Female,Master’s degree,Occasionally,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Digital tools,,High Expectations,Very Easy to Understand
2024-09-10 21:08:00,2024-09-10 21:08:38,IP Address,90.251.128.55,100,38,True,2024-09-10 21:08:38,R_8Pny1AazbXWSP2w,,,,,53.6921,-2.5614,anonymous,ZH-S,23-28,Male,Master’s degree,Sometimes,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Digital tools,,High Expectations,Very Easy to Understand
2024-09-10 23:06:23,2024-09-10 23:07:00,IP Address,90.251.128.55,100,36,True,2024-09-10 23:07:00,R_2BmrpdeVsmnl6hT,,,,,53.6921,-2.5614,anonymous,ZH-S,23-28,Male,Master’s degree,Sometimes,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Traditional lectures,,High Expectations,Somewhat Easy to Understand
2024-09-11 00:46:23,2024-09-11 00:47:00,IP Address,31.94.71.45,100,36,True,2024-09-11 00:47:00,R_2PoQqll8Y2XODHM,,,,,52.4867,-1.8989,anonymous,ZH-S,18-22,Male,Bachelor's degree,Occasionally,Strongly Agree,Agree,Neutral,Agree,Somewhat Agree,Traditional lectures,,High Expectations,Easy to Understand
2024-09-11 15:45:46,2024-09-11 15:46:35,IP Address,90.251.128.55,100,49,True,2024-09-11 15:46:36,R_24wtmC1RzVYpMjN,,,,,53.6921,-2.5614,anonymous,ZH-S,23-28,Male,Master’s degree,Never,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Traditional lectures,,High Expectations,Easy to Understand
2024-09-11 19:29:05,2024-09-11 19:29:43,IP Address,90.251.128.55,100,37,True,2024-09-11 19:29:43,R_8FFYA03WqXn8En8,,,,,53.6921,-2.5614,anonymous,ZH-S,23-28,Female,Master’s degree,Never,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Hands-on activities,,High Expectations,Easy to Understand
2024-09-11 22:41:28,2024-09-11 22:42:40,IP Address,90.251.128.55,100,72,True,2024-09-11 22:42:41,R_2qV6Nxx5RBj5a4x,,,,,53.6921,-2.5614,anonymous,ZH-S,23-28,Female,Master’s degree,Never,Agree,Agree,Agree,Somewhat Agree,Agree,Digital tools,,High Expectations,Somewhat Easy to Understand
2024-09-12 12:30:53,2024-09-12 12:31:18,IP Address,90.251.128.55,100,24,True,2024-09-12 12:31:18,R_8ecqMw5kk3OLa4F,,,,,53.6921,-2.5614,anonymous,ZH-S,23-28,Female,Master’s degree,Never,Somewhat Agree,Agree,Agree,Agree,Agree,Traditional lectures,,High Expectations,Easy to Understand
2024-09-12 15:24:16,2024-09-12 15:24:43,IP Address,31.94.71.44,100,26,True,2024-09-12 15:24:44,R_2PjjdT5yhvEIdIR,,,,,52.4867,-1.8989,anonymous,ZH-S,23-28,Female,Master’s degree,Occasionally,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Digital tools,,High Expectations,Easy to Understand
2024-09-12 17:12:04,2024-09-12 17:12:29,IP Address,90.251.128.55,100,24,True,2024-09-12 17:12:29,R_2NOg7jv22NSQvKJ,,,,,53.6921,-2.5614,anonymous,ZH-S,23-28,Male,Master’s degree,Occasionally,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Traditional lectures,,High Expectations,Very Easy to Understand
