StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q5,Q6,Q6_7_TEXT,Q18,Q8,Q22,Q20,Q19,Q27,Q26,Q25,Q24
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"1. After playing the game, I feel good overall experience with ""Supermarket Simulator"".",2. What did you enjoy most about the the game? - Selected Choice,2. What did you enjoy most about the the game? - Others - Text,3. Were there any aspects of the game you felt challenging or frustrating?,4. I feel immersive in the game.,5. I learn retail management skills and knowledge from the game.,6. The game makes me feel more interested in skills and knowledge related to retail management.,"7.	After playing the game, I feel motivated to engage in similar learning activities.",8. The game reached my expectations to learn about retail management.,9. I connect what I learned in the game with real-world concepts.,10. I will use serious games like this one for future learning.,11. I will recommend serious game as an effective educational learning tool to others
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_7_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID8""}","{""ImportId"":""QID22""}","{""ImportId"":""QID20""}","{""ImportId"":""QID19""}","{""ImportId"":""QID27""}","{""ImportId"":""QID26""}","{""ImportId"":""QID25""}","{""ImportId"":""QID24""}"
2024-09-05 21:37:40,2024-09-05 21:39:21,IP Address,83.106.8.30,100,101,True,2024-09-05 21:39:22,R_2r7gilsKvdIiZyh,,,,,53.4344,-2.2664,anonymous,ZH-S,Agree,Setting appropriate prices,,Organizing and tidying shelves,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
2024-09-05 23:40:10,2024-09-05 23:41:20,IP Address,83.106.8.30,100,69,True,2024-09-05 23:41:20,R_2ah2giumCtJUwME,,,,,53.5866,-2.4354,anonymous,ZH-S,Strongly Agree,Managing product orders,,Managing the warehouse,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree
2024-09-06 00:32:26,2024-09-06 00:33:41,IP Address,83.106.8.30,100,75,True,2024-09-06 00:33:42,R_2Se3V8pz2UtQe5d,,,,,53.5866,-2.4354,anonymous,ZH-S,Neutral,Organizing and tidying shelves,,Setting appropriate prices,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
2024-09-06 14:00:28,2024-09-06 14:03:56,IP Address,148.252.145.134,100,207,True,2024-09-06 14:03:57,R_2dmfeuTdcZPmoAp,,,,,51.4964,-0.1224,anonymous,ZH-S,Strongly Agree,Setting appropriate prices,,Managing the warehouse,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
2024-09-06 15:00:50,2024-09-06 15:01:40,IP Address,31.94.70.238,100,49,True,2024-09-06 15:01:40,R_21svovDFy1hZBaD,,,,,52.5297,-1.8543,anonymous,ZH-S,Somewhat Agree,Organizing and tidying shelves,,Organizing and tidying shelves,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Agree
2024-09-06 18:18:06,2024-09-06 18:19:03,IP Address,148.252.147.121,100,57,True,2024-09-06 18:19:04,R_2Ov5iQHKi1GankX,,,,,51.4964,-0.1224,anonymous,ZH-S,Agree,Managing product orders,,Managing product orders,Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree
2024-09-06 19:50:28,2024-09-06 19:51:13,IP Address,83.106.8.30,100,44,True,2024-09-06 19:51:14,R_2Rk2AQKYIypsCl1,,,,,53.5866,-2.4354,anonymous,ZH-S,Agree,Organizing and tidying shelves,,Managing the warehouse,Agree,Somewhat Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree
2024-09-07 10:07:34,2024-09-07 10:08:24,IP Address,83.106.8.30,100,50,True,2024-09-07 10:08:25,R_2PSHM7JqJE4SqrP,,,,,53.5866,-2.4354,anonymous,ZH-S,Agree,Managing product orders,,Setting appropriate prices,Agree,Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree
2024-09-07 16:47:58,2024-09-07 16:48:57,IP Address,31.94.9.19,100,58,True,2024-09-07 16:48:58,R_2nSKLESBVxdc3dn,,,,,52.4867,-1.8989,anonymous,ZH-S,Strongly Agree,Managing product orders,,Organizing and tidying shelves,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree
2024-09-07 17:17:24,2024-09-07 17:18:21,IP Address,148.252.145.228,100,56,True,2024-09-07 17:18:21,R_2waIfC1fVMdBOd3,,,,,51.4964,-0.1224,anonymous,ZH-S,Somewhat Agree,Managing the warehouse,,Organizing and tidying shelves,Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree
2024-09-08 21:02:56,2024-09-08 21:04:01,IP Address,90.251.128.55,100,65,True,2024-09-08 21:04:01,R_8zUTxMIdalM5NGE,,,,,53.6921,-2.5614,anonymous,ZH-S,Strongly Agree,Expanding and upgrading the store,,Managing the warehouse,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
2024-09-09 16:50:01,2024-09-09 16:50:40,IP Address,90.251.128.55,100,39,True,2024-09-09 16:50:41,R_8FOO7SeGTgIudTW,,,,,53.6921,-2.5614,anonymous,ZH-S,Strongly Agree,Managing product orders,,Setting appropriate prices,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree
2024-09-10 02:24:58,2024-09-10 02:26:06,IP Address,90.251.128.55,100,68,True,2024-09-10 02:26:07,R_2VPBkhd8JrgwEp3,,,,,53.6921,-2.5614,anonymous,ZH-S,Strongly Agree,Managing product orders,,Managing the warehouse,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree
2024-09-10 13:47:48,2024-09-10 13:48:28,IP Address,90.251.128.55,100,40,True,2024-09-10 13:48:29,R_8ELGPfJ1bbVPnDd,,,,,53.6921,-2.5614,anonymous,ZH-S,Agree,Organizing and tidying shelves,,Setting appropriate prices,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree
2024-09-10 17:46:07,2024-09-10 17:46:46,IP Address,90.251.128.55,100,38,True,2024-09-10 17:46:46,R_8BEuRyhQfPiiHkt,,,,,53.6921,-2.5614,anonymous,ZH-S,Strongly Agree,Managing product orders,,Setting appropriate prices,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree
2024-09-10 21:08:44,2024-09-10 21:09:34,IP Address,90.251.128.55,100,50,True,2024-09-10 21:09:35,R_8KSXE7ViLbnyW1f,,,,,53.6921,-2.5614,anonymous,ZH-S,Strongly Agree,Managing product orders,,Organizing and tidying shelves,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree
2024-09-10 23:07:03,2024-09-10 23:07:51,IP Address,90.251.128.55,100,47,True,2024-09-10 23:07:51,R_2P0s1XJKdfnIIQ4,,,,,53.6921,-2.5614,anonymous,ZH-S,Agree,Managing product orders,,Managing product orders,Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Agree
2024-09-05 13:34:04,2024-09-11 01:08:22,IP Address,90.251.128.55,100,473658,True,2024-09-11 01:08:23,R_2Hjq6jFsyTjnGbD,,,,,53.6921,-2.5614,anonymous,ZH-S,Agree,Managing product orders,,Organizing and tidying shelves,Agree,Agree,Strongly Agree,Agree,,Somewhat Agree,Agree,Strongly Agree
2024-09-11 15:46:41,2024-09-11 15:47:28,IP Address,90.251.128.55,100,47,True,2024-09-11 15:47:30,R_2gwnXAuLR8t8JTX,,,,,53.6921,-2.5614,anonymous,ZH-S,Agree,Setting appropriate prices,,Managing the warehouse,Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree
2024-09-11 19:29:47,2024-09-11 19:30:51,IP Address,90.251.128.55,100,63,True,2024-09-11 19:30:51,R_8poKuIO5FQ1RQNX,,,,,53.6921,-2.5614,anonymous,ZH-S,Agree,Expanding and upgrading the store,,Managing the warehouse,Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree
2024-09-11 22:42:43,2024-09-11 22:43:22,IP Address,90.251.128.55,100,38,True,2024-09-11 22:43:22,R_8gBjQ8t2A0EJhYX,,,,,53.6921,-2.5614,anonymous,ZH-S,Agree,Organizing and tidying shelves,,Hiring and managing staff,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree
2024-09-12 12:31:33,2024-09-12 12:32:10,IP Address,90.251.128.55,100,36,True,2024-09-12 12:32:10,R_2QYrzMoTifRpOuF,,,,,53.6921,-2.5614,anonymous,ZH-S,Agree,Managing product orders,,Hiring and managing staff,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree
2024-09-12 15:24:47,2024-09-12 15:25:27,IP Address,31.94.71.44,100,39,True,2024-09-12 15:25:28,R_2dtDtpdYGE3zW9m,,,,,52.4867,-1.8989,anonymous,ZH-S,Agree,Managing product orders,,Managing the warehouse,Strongly Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree
2024-09-12 17:12:31,2024-09-12 17:13:00,IP Address,90.251.128.55,100,28,True,2024-09-12 17:13:00,R_8VvFtRIPvE0FllL,,,,,53.6921,-2.5614,anonymous,ZH-S,Agree,Setting appropriate prices,,Setting appropriate prices,Strongly Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree
2024-09-12 20:59:39,2024-09-12 21:00:07,IP Address,90.251.128.55,100,28,True,2024-09-12 21:00:08,R_8jwec0abJym1TkM,,,,,53.6921,-2.5614,anonymous,ZH-S,Strongly Agree,Organizing and tidying shelves,,Hiring and managing staff,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree
2024-09-12 21:51:51,2024-09-12 21:53:15,IP Address,90.251.128.55,100,83,True,2024-09-12 21:53:16,R_8Eb7APvxw2f9yo8,,,,,53.6132,-2.607,anonymous,ZH-S,Agree,Expanding and upgrading the store,,Managing the warehouse,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree
2024-09-13 12:57:04,2024-09-13 12:57:43,IP Address,90.251.128.55,100,38,True,2024-09-13 12:57:44,R_2OCZE82wiRSHe1Q,,,,,53.6132,-2.607,anonymous,ZH-S,Agree,Managing product orders,,Managing the warehouse,Agree,Somewhat Agree,Agree,Agree,Agree,Strongly Agree,Agree,Somewhat Agree
2024-09-13 22:05:11,2024-09-13 22:06:32,IP Address,90.251.128.55,100,81,True,2024-09-13 22:06:33,R_2eIg70T6m7zdQdP,,,,,53.6132,-2.607,anonymous,ZH-S,Agree,Managing product orders,,Setting appropriate prices,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
2024-09-17 00:23:41,2024-09-17 00:24:21,IP Address,90.251.128.55,100,40,True,2024-09-17 00:24:22,R_2CUH44lKSJpHZ8i,,,,,53.4798,-2.3307,anonymous,ZH-S,Agree,Setting appropriate prices,,Managing product orders,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree
2024-09-17 00:25:22,2024-09-17 00:26:02,IP Address,31.94.70.34,100,40,True,2024-09-17 00:26:03,R_2Pj45HtoQmNjZra,,,,,52.4759,-1.8516,anonymous,ZH-S,Somewhat Agree,Organizing and tidying shelves,,Managing product orders,Somewhat Agree,Neutral,Somewhat Agree,Agree,Neutral,Somewhat Agree,Agree,Agree
